id,title,company,location,description,required_skills
25,Pharmacist,Community Pharmacy,"Denver, CO","Dispense medications and provide patient counseling. PharmD degree and current pharmacist license required.",pharmacy;medication management;patient counseling;healthcare
26,Civil Engineer,Infrastructure Solutions,"Seattle, WA","Design and oversee construction of infrastructure projects. PE license and experience with CAD software required.",civil engineering;autocad;structural analysis;project management
27,Social Media Manager,Digital Marketing Agency,"Austin, TX","Manage social media accounts for our clients. Experience with content creation and analytics tools required.",social media;content creation;analytics;hootsuite;buffer
28,Physical Therapist,Rehabilitation Center,"Minneapolis, MN","Provide physical therapy services to patients. DPT degree and current PT license required.",physical therapy;patient assessment;treatment planning;rehabilitation
29,Customer Service Representative,Support Solutions,Remote,"Assist customers with inquiries and resolve issues. Experience with customer service and problem-solving required.",customer service;communication;problem solving;patience
30,Operations Manager,Manufacturing Inc.,"Pittsburgh, PA","Oversee daily operations of our manufacturing facility. Experience with production management and lean principles required.",operations management;manufacturing;lean;supply chain;inventory management
31,Legal Assistant,Law Firm,"Washington, DC","Support attorneys with case preparation and document management. Experience with legal research and document drafting required.",legal research;document preparation;case management;attention to detail
32,Electrician,Construction Services,"Houston, TX","Install and maintain electrical systems. Journeyman or Master Electrician license required.",electrical systems;wiring;troubleshooting;blueprint reading
33,Event Planner,Event Management,"New Orleans, LA","Plan and coordinate events for our clients. Experience with event management and vendor relations required.",event planning;vendor management;budgeting;coordination;creativity
34,Dental Hygienist,Dental Clinic,"Portland, OR","Provide dental hygiene services to patients. Dental hygienist license and experience in a dental office required.",dental hygiene;patient care;oral health;sterilization procedures
35,Supply Chain Analyst,Logistics Company,"Memphis, TN","Analyze supply chain data and recommend improvements. Experience with logistics and inventory management required.",supply chain;logistics;inventory management;data analysis;forecasting
36,Real Estate Agent,Property Partners,"Miami, FL","Help clients buy and sell properties. Real estate license and sales experience required.",real estate;sales;negotiation;market analysis;client relations
37,Video Editor,Production Studio,"Los Angeles, CA","Edit video content for our clients. Proficiency in Adobe Premiere Pro and After Effects required.",video editing;adobe premiere;after effects;storytelling;audio editing
38,Environmental Scientist,Green Solutions,"Portland, OR","Conduct environmental assessments and research. Degree in environmental science and field experience required.",environmental science;data collection;report writing;field research
39,Insurance Agent,Insurance Company,"Hartford, CT","Sell insurance products to clients. Insurance license and sales experience required.",insurance;sales;risk assessment;customer service;financial planning
40,Fitness Trainer,Health Club,"San Diego, CA","Provide personal training services to members. Certification in personal training and fitness experience required.",personal training;exercise science;nutrition;motivation;program design
41,Truck Driver,Logistics Inc.,"Nationwide","Transport goods across the country. CDL license and clean driving record required.",cdl;driving;logistics;time management;safety procedures
42,Veterinarian,Animal Hospital,"Denver, CO","Provide medical care to animals. DVM degree and veterinary license required.",veterinary medicine;animal care;surgery;diagnostics;client communication
43,Flight Attendant,Airlines,"Based in Atlanta, GA","Ensure passenger safety and comfort during flights. Customer service experience and flexibility for travel required.",customer service;safety procedures;conflict resolution;foreign languages
44,Librarian,Public Library,"Seattle, WA","Manage library resources and assist patrons. Master's degree in Library Science required.",library science;research;cataloging;information management;public service
45,Welder,Manufacturing Company,"Detroit, MI","Perform welding tasks in our manufacturing facility. Welding certification and experience with various welding techniques required.",welding;blueprint reading;fabrication;quality control
46,Psychologist,Mental Health Center,"Boston, MA","Provide psychological services to clients. PhD in Psychology and license to practice required.",psychology;therapy;assessment;treatment planning;clinical documentation
47,Interior Designer,Design Studio,"New York, NY","Create interior designs for residential and commercial spaces. Degree in Interior Design and portfolio of work required.",interior design;space planning;color theory;autocad;client relations
48,Agricultural Manager,Farm Operations,"Des Moines, IA","Manage farm operations and staff. Experience with agricultural management and crop planning required.",agriculture;farm management;crop planning;equipment maintenance;staff supervision
49,Journalist,News Network,"Washington, DC","Research and write news stories. Degree in Journalism and writing experience required.",journalism;writing;research;interviewing;editing
50,Hotel Manager,Luxury Hotel,"Las Vegas, NV","Oversee all aspects of hotel operations. Experience in hospitality management and customer service required.",hospitality management;customer service;staff supervision;budgeting;problem solving
51,Aerospace Engineer,Aviation Technologies,"Seattle, WA","Design aircraft and spacecraft components. Degree in Aerospace Engineering and experience with CAD software required.",aerospace engineering;cad;fluid dynamics;structural analysis
52,Plumber,Plumbing Services,"Chicago, IL","Install and repair plumbing systems. Plumbing license and experience with residential and commercial plumbing required.",plumbing;pipe fitting;troubleshooting;blueprint reading
53,Speech Therapist,Rehabilitation Center,"Atlanta, GA","Provide speech therapy services to patients. Master's degree in Speech-Language Pathology and license required.",speech therapy;assessment;treatment planning;documentation;patient care
54,Web Developer,Digital Agency,"Austin, TX","Develop websites for our clients. Experience with HTML, CSS, JavaScript, and responsive design required.",html;css;javascript;responsive design;wordpress;php
55,Police Officer,City Police Department,"Los Angeles, CA","Enforce laws and protect the community. Police academy training and clean background required.",law enforcement;public safety;conflict resolution;report writing
56,Architect,Design Firm,"Chicago, IL","Design buildings and structures. Architecture degree and license required.",architecture;autocad;revit;building codes;project management
57,Translator,Language Services,Remote,"Translate documents from one language to another. Fluency in multiple languages and translation experience required.",translation;language proficiency;cultural knowledge;attention to detail
58,Biomedical Engineer,Medical Devices,"Minneapolis, MN","Design and develop medical devices. Degree in Biomedical Engineering and experience with medical technology required.",biomedical engineering;medical devices;product development;regulatory compliance
59,Carpenter,Construction Company,"Denver, CO","Construct and repair wooden structures. Carpentry experience and knowledge of building techniques required.",carpentry;woodworking;blueprint reading;construction;tool usage
60,Social Worker,Community Services,"Philadelphia, PA","Provide social services to clients in need. Master's degree in Social Work and license required.",social work;case management;counseling;community resources;advocacy
61,Game Developer,Gaming Studio,"Seattle, WA","Develop video games for various platforms. Experience with game engines and programming required.",game development;unity;unreal engine;c++;3d modeling
62,Nurse Practitioner,Medical Clinic,"Boston, MA","Provide advanced nursing care to patients. Master's degree in Nursing and NP license required.",nursing;patient assessment;diagnosis;treatment;prescribing
63,Quality Assurance Tester,Software Company,"Austin, TX","Test software applications for bugs and issues. Experience with testing methodologies and tools required.",software testing;bug tracking;test cases;quality assurance;automation testing
64,Landscape Architect,Landscape Design,"Portland, OR","Design outdoor spaces for residential and commercial clients. Landscape Architecture degree and license required.",landscape architecture;site planning;plant knowledge;autocad;project management
65,Paramedic,Emergency Services,"Chicago, IL","Provide emergency medical care to patients. Paramedic certification and experience in emergency medicine required.",emergency medicine;patient assessment;medical procedures;critical thinking
66,Art Director,Advertising Agency,"New York, NY","Direct visual style and imagery for advertising campaigns. Experience with creative direction and design required.",creative direction;design;brand development;team leadership;adobe creative suite
67,Geologist,Environmental Consulting,"Denver, CO","Study earth materials and processes. Geology degree and field experience required.",geology;field research;data analysis;report writing;environmental assessment
68,Chef de Cuisine,Fine Dining Restaurant,"San Francisco, CA","Lead kitchen operations and menu development. Culinary degree and experience in fine dining required.",culinary arts;menu development;kitchen management;food preparation;creativity
69,Occupational Therapist,Healthcare Center,"Minneapolis, MN","Help patients develop skills for daily living. Master's degree in Occupational Therapy and license required.",occupational therapy;rehabilitation;patient assessment;treatment planning
70,Logistics Coordinator,Shipping Company,"Memphis, TN","Coordinate shipping and receiving operations. Experience with logistics and transportation management required.",logistics;transportation;inventory management;scheduling;coordination
71,Electrical Engineer,Engineering Firm,"Houston, TX","Design electrical systems for buildings and facilities. Electrical Engineering degree and PE license preferred.",electrical engineering;power systems;circuit design;autocad;project management
72,Dental Assistant,Dental Office,"Phoenix, AZ","Assist dentists with procedures and patient care. Dental Assistant certification and experience required.",dental assisting;patient care;sterilization;x-ray;chairside assistance
73,HR Specialist,Corporate Office,"Dallas, TX","Handle specific HR functions such as recruitment or benefits. Experience in human resources and relevant specialization required.",human resources;recruitment;benefits administration;employee relations
74,Automotive Technician,Auto Repair Shop,"Detroit, MI","Diagnose and repair vehicle issues. ASE certification and experience with automotive repair required.",automotive repair;diagnostics;mechanical skills;electrical systems
75,Preschool Teacher,Early Learning Center,"Seattle, WA","Teach and care for young children. Early Childhood Education degree and teaching experience required.",early childhood education;curriculum planning;child development;classroom management
76,Financial Advisor,Wealth Management,"New York, NY","Provide financial planning advice to clients. Financial advisor license and experience with investment planning required.",financial planning;investment management;client relations;retirement planning
77,Sous Chef,Restaurant Group,"Chicago, IL","Assist the executive chef with kitchen operations. Culinary degree and experience in restaurant kitchens required.",cooking;kitchen management;menu planning;food preparation;team leadership
78,Civil Engineering Technician,Engineering Firm,"Denver, CO","Assist civil engineers with projects. Associate's degree in Civil Engineering Technology and field experience required.",civil engineering;autocad;surveying;construction inspection
79,Paralegal,Law Office,"Washington, DC","Assist attorneys with legal research and document preparation. Paralegal certification and legal experience required.",legal research;document preparation;case management;legal writing
80,Radiologic Technologist,Medical Center,"Houston, TX","Perform diagnostic imaging examinations. Radiologic Technology degree and ARRT certification required.",radiologic technology;patient positioning;equipment operation;radiation safety
81,Customer Success Manager,SaaS Company,Remote,"Ensure customer satisfaction and retention. Experience with customer relationship management and software products required.",customer relationship management;account management;software knowledge;communication
82,HVAC Technician,Mechanical Services,"Phoenix, AZ","Install and repair heating, ventilation, and air conditioning systems. HVAC certification and experience required.",hvac;installation;repair;troubleshooting;mechanical systems
83,Public Relations Specialist,PR Agency,"Los Angeles, CA","Manage public image for clients. Experience with media relations and communication strategies required.",public relations;media relations;communication;writing;crisis management
84,Warehouse Manager,Distribution Center,"Atlanta, GA","Oversee warehouse operations and staff. Experience with inventory management and logistics required.",warehouse management;inventory control;logistics;staff supervision;safety procedures
85,Physician Assistant,Medical Practice,"Boston, MA","Provide medical care under physician supervision. PA degree and license required.",medicine;patient assessment;diagnosis;treatment;medical procedures
86,SEO Specialist,Digital Marketing,"San Francisco, CA","Optimize websites for search engines. Experience with SEO strategies and analytics tools required.",seo;keyword research;analytics;content optimization;link building
87,Floral Designer,Flower Shop,"Portland, OR","Create floral arrangements for various occasions. Experience with floral design and creativity required.",floral design;creativity;customer service;plant knowledge;event decoration
88,Actuary,Insurance Company,"Hartford, CT","Analyze financial costs of risk and uncertainty. Actuarial certification and experience with statistical analysis required.",actuarial science;statistics;risk assessment;financial analysis
89,Machinist,Manufacturing Plant,"Detroit, MI","Operate machine tools to produce precision parts. Experience with CNC machines and blueprint reading required.",machining;cnc operation;blueprint reading;precision measurement
90,Dietitian,Healthcare Facility,"Chicago, IL","Provide nutrition advice to patients. Registered Dietitian credential and nutrition experience required.",nutrition;diet planning;patient counseling;medical nutrition therapy
91,Technical Writer,Technology Company,"Seattle, WA","Create documentation for products and services. Experience with technical writing and knowledge of subject matter required.",technical writing;documentation;editing;research;information architecture
92,Optometrist,Eye Care Center,"Dallas, TX","Examine eyes and prescribe corrective lenses. Doctor of Optometry degree and license required.",optometry;eye examinations;vision testing;patient care
93,Construction Manager,Building Company,"Las Vegas, NV","Oversee construction projects from planning to completion. Experience with construction management and project planning required.",construction management;project planning;budgeting;scheduling;building codes
94,Animator,Animation Studio,"Los Angeles, CA","Create animations for films, games, or other media. Experience with animation software and artistic ability required.",animation;3d modeling;character design;motion graphics;storytelling
95,Loan Officer,Banking Institution,"Chicago, IL","Evaluate and authorize loan applications. Experience with financial analysis and knowledge of lending regulations required.",loan processing;financial analysis;customer service;regulatory compliance
96,Environmental Health Specialist,Public Health Department,"Portland, OR","Inspect facilities for health code compliance. Degree in Environmental Health and certification required.",environmental health;inspections;regulatory compliance;public health
97,Court Reporter,Legal System,"Washington, DC","Record and transcribe legal proceedings. Court reporter certification and stenography experience required.",court reporting;stenography;transcription;legal terminology
98,Athletic Trainer,Sports Organization,"Miami, FL","Prevent and treat athletic injuries. Athletic Training degree and certification required.",athletic training;injury prevention;rehabilitation;emergency care
99,Telecommunications Technician,Communications Company,"Dallas, TX","Install and repair telecommunications equipment. Experience with telecommunications systems and technical certification required.",telecommunications;installation;troubleshooting;network systems
100,Fundraising Manager,Nonprofit Organization,"New York, NY","Develop and implement fundraising strategies. Experience with nonprofit fundraising and donor relations required.",fundraising;donor relations;event planning;grant writing;nonprofit management
